Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date.1,Time.1,Comp.1,Round.1,Day.1,Venue.1,Result.1,GF.1,GA.1,Opponent.1,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG.1,npxG,npxG/Sh,G-xG,np:G-xG,Match Report.1
04/05/2024,15:00,Premier League,Matchweek 36,Sat,Away,W,4,1,Burnley,3.4,1.0,53.0,"21,781",Dan Burn,4-4-2,4-2-3-1,Anthony Taylor,Match Report,,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Away,W,4,1,Burnley,4,22.0,10.0,45.5,0.18,0.4,17.6,1.0,0.0,1.0,3.4,2.7,0.14,0.6,1.3,Match Report
11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,D,1,1,Brighton,2.2,1.4,57.0,"51,997",Dan Burn,4-3-3,4-2-3-1,Darren England,Match Report,,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,D,1,1,Brighton,1,18.0,7.0,38.9,0.06,0.14,15.8,0.0,0.0,0.0,2.2,2.2,0.12,-1.2,-1.2,Match Report
15/05/2024,20:00,Premier League,Matchweek 34,Wed,Away,L,2,3,Manchester Utd,2.2,1.5,55.0,"73,582",Kieran Trippier,4-3-3,4-2-2-2,Robert Jones,Match Report,,15/05/2024,20:00,Premier League,Matchweek 34,Wed,Away,L,2,3,Manchester Utd,2,21.0,7.0,33.3,0.1,0.29,14.6,0.0,0.0,0.0,2.2,2.2,0.1,-0.2,-0.2,Match Report
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Brentford,3.4,1.1,46.0,"17,124",Dan Burn,4-3-3,4-3-3,Simon Hooper,Match Report,,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Brentford,4,12.0,7.0,58.3,0.33,0.57,15.4,2.0,0.0,0.0,3.4,3.4,0.29,0.6,0.6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,99,664.0,251.0,37.8,0.14,0.36,15.9,13.0,9.0,10.0,,,0.13,99.0,90.0,
14/08/2023,20:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,2.2,2.2,51.0,"73,358",Bruno Fernandes,4-1-4-1,4-4-2,Simon Hooper,Match Report,,14/08/2023,20:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,1,15.0,2.0,13.3,0.07,0.5,14.7,0.0,0.0,0.0,2.2,2.2,0.15,-1.2,-1.2,Match Report
19/08/2023,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,2.1,1.7,45.0,"61,910",Bruno Fernandes,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,19/08/2023,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,0,22.0,6.0,27.3,0.0,0.0,15.6,1.0,0.0,0.0,2.1,2.1,0.09,-2.1,-2.1,Match Report
26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,2.8,1.2,66.0,"73,595",Bruno Fernandes,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,3,17.0,8.0,47.1,0.12,0.25,20.3,0.0,1.0,1.0,2.8,2.0,0.12,0.2,0.0,Match Report
03/09/2023,16:30,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45.0,"60,192",Bruno Fernandes,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,03/09/2023,16:30,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,1,10.0,2.0,20.0,0.1,0.5,16.5,0.0,0.0,0.0,0.9,0.9,0.09,0.1,0.1,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1.0,1.7,44.0,"73,592",Bruno Fernandes,4-1-2-1-2,4-2-3-1,Jarred Gillett,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1,14.0,4.0,28.6,0.07,0.25,18.6,1.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Match Report
20/09/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,L,3,4,de Bayern Munich,1.7,2.2,41.0,"75,000",Bruno Fernandes,4-2-3-1,4-2-3-1,Glenn Nyberg,Match Report,,20/09/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,L,3,4,de Bayern Munich,3,9.0,4.0,44.4,0.33,0.75,11.3,0.0,0.0,0.0,1.7,1.7,0.19,1.3,1.3,Match Report
23/09/2023,20:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1.0,1.1,39.0,"21,593",Bruno Fernandes,4-2-3-1,4-3-3,Tony Harrington,Match Report,,23/09/2023,20:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1,11.0,4.0,36.4,0.09,0.25,15.0,0.0,0.0,0.0,1.0,1.0,0.09,0.0,0.0,Match Report
26/09/2023,20:00,EFL Cup,Third round,Tue,Home,W,3,0,Crystal Palace,,,69.0,"72,842",Raphaël Varane,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,,26/09/2023,20:00,EFL Cup,Third round,Tue,Home,W,3,0,Crystal Palace,3,14.0,7.0,50.0,0.21,0.43,,,0.0,0.0,,,,,,Match Report
30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77.0,"73,428",Bruno Fernandes,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,0,19.0,3.0,15.8,0.0,0.0,15.5,0.0,0.0,0.0,1.3,1.3,0.07,-1.3,-1.3,Match Report
03/10/2023,20:00,Champions Lg,Group stage,Tue,Home,L,2,3,tr Galatasaray,2.3,2.6,55.0,"73,204",Bruno Fernandes,4-3-3,4-2-3-1,Ivan Kruliak,Match Report,,03/10/2023,20:00,Champions Lg,Group stage,Tue,Home,L,2,3,tr Galatasaray,2,16.0,5.0,31.3,0.13,0.4,16.5,1.0,0.0,0.0,2.3,2.3,0.14,-0.3,-0.3,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,1.4,0.9,64.0,"73,453",Bruno Fernandes,4-2-3-1,3-5-2,Andy Madley,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,2,21.0,8.0,38.1,0.1,0.25,18.3,1.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6,Match Report
21/10/2023,20:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62.0,"31,543",Bruno Fernandes,4-2-3-1,4-4-2,Michael Oliver,Match Report,,21/10/2023,20:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,2,14.0,5.0,35.7,0.14,0.4,20.6,1.0,0.0,0.0,1.1,1.1,0.08,0.9,0.9,Match Report
24/10/2023,20:00,Champions Lg,Group stage,Tue,Home,W,1,0,dk FC Copenhagen,1.7,1.9,50.0,"73,249",Bruno Fernandes,4-2-3-1,4-3-3,Marco Guida,Match Report,,24/10/2023,20:00,Champions Lg,Group stage,Tue,Home,W,1,0,dk FC Copenhagen,1,15.0,5.0,33.3,0.07,0.2,15.0,0.0,0.0,0.0,1.7,1.7,0.12,-0.7,-0.7,Match Report
29/10/2023,15:30,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0.9,4.0,40.0,"73,502",Bruno Fernandes,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,29/10/2023,15:30,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0,7.0,3.0,42.9,0.0,0.0,15.2,0.0,0.0,0.0,0.9,0.9,0.14,-0.9,-0.9,Match Report
01/11/2023,20:15,EFL Cup,Fourth round,Wed,Home,L,0,3,Newcastle Utd,,,62.0,"72,484",Casemiro,4-2-3-1,4-3-3,Robert Jones,Match Report,,01/11/2023,20:15,EFL Cup,Fourth round,Wed,Home,L,0,3,Newcastle Utd,0,13.0,2.0,15.4,0.0,0.0,,,0.0,0.0,,,,,,Match Report
