Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
02/12/2023,20:00,Premier League,Matchweek 14,Sat,Away,L,0,1,Newcastle Utd,0.5,2.4,42,"52,214",Bruno Fernandes,4-2-3-1,4-3-3,Robert Jones,Match Report,,02/12/2023,20:00,Premier League,Matchweek 14,Sat,Away,L,0,1,Newcastle Utd,0,8,1,12.5,0,0,18.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
06/12/2023,20:15,Premier League,Matchweek 15,Wed,Home,W,2,1,Chelsea,4.1,1.5,45,"73,607",Bruno Fernandes,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,06/12/2023,20:15,Premier League,Matchweek 15,Wed,Home,W,2,1,Chelsea,2,27,8,29.6,0.07,0.25,15.4,1,0,1,4.1,3.3,0.13,-2.1,-1.3,Match Report
09/12/2023,15:00,Premier League,Matchweek 16,Sat,Home,L,0,3,Bournemouth,1.1,1.5,68,"73,427",Bruno Fernandes,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Home,L,0,3,Bournemouth,0,20,3,15,0,0,15.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report
12/12/2023,20:00,Champions Lg,Group stage,Tue,Home,L,0,1,de Bayern Munich,0.3,1.2,41,"73,073",Bruno Fernandes,4-2-3-1,4-2-3-1,Espen Eskås,Match Report,,12/12/2023,20:00,Champions Lg,Group stage,Tue,Home,L,0,1,de Bayern Munich,0,5,1,20,0,0,24.1,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
17/12/2023,16:30,Premier League,Matchweek 17,Sun,Away,D,0,0,Liverpool,0.8,2.3,32,"57,158",Scott McTominay,4-2-3-1,4-3-3,Michael Oliver,Match Report,,17/12/2023,16:30,Premier League,Matchweek 17,Sun,Away,D,0,0,Liverpool,0,6,1,16.7,0,0,16.3,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Match Report
23/12/2023,12:30,Premier League,Matchweek 18,Sat,Away,L,0,2,West Ham,1,1.2,65,"64,472",Bruno Fernandes,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,,23/12/2023,12:30,Premier League,Matchweek 18,Sat,Away,L,0,2,West Ham,0,11,3,27.3,0,0,18.1,0,0,0,1,1,0.09,-1,-1,Match Report
26/12/2023,20:00,Premier League,Matchweek 19,Tue,Home,W,3,2,Aston Villa,1.1,1.7,46,"73,574",Bruno Fernandes,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,26/12/2023,20:00,Premier League,Matchweek 19,Tue,Home,W,3,2,Aston Villa,3,13,7,53.8,0.23,0.43,18,1,0,0,1.1,1.1,0.09,1.9,1.9,Match Report
30/12/2023,17:30,Premier League,Matchweek 20,Sat,Away,L,1,2,Nott'ham Forest,0.8,0.7,56,"29,529",Bruno Fernandes,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,30/12/2023,17:30,Premier League,Matchweek 20,Sat,Away,L,1,2,Nott'ham Forest,1,10,5,50,0.1,0.2,17.5,0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report
08/01/2024,20:15,FA Cup,Third round proper,Mon,Away,W,2,0,Wigan Athletic,,,67,"22,870",Bruno Fernandes,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,08/01/2024,20:15,FA Cup,Third round proper,Mon,Away,W,2,0,Wigan Athletic,2,33,14,42.4,0.03,0.07,,,1,1,,,,,,Match Report
14/01/2024,16:30,Premier League,Matchweek 21,Sun,Home,D,2,2,Tottenham,0.8,1.2,37,"73,489",Bruno Fernandes,4-2-3-1,4-3-3,John Brooks,Match Report,,14/01/2024,16:30,Premier League,Matchweek 21,Sun,Home,D,2,2,Tottenham,2,9,2,22.2,0.22,1,14.5,1,0,0,0.8,0.8,0.08,1.2,1.2,Match Report
28/01/2024,16:30,FA Cup,Fourth round proper,Sun,Away,W,4,2,Newport County,,,71,"9,086",Bruno Fernandes,4-2-3-1,5-3-2,David Coote,Match Report,,28/01/2024,16:30,FA Cup,Fourth round proper,Sun,Away,W,4,2,Newport County,4,22,9,40.9,0.18,0.44,,,0,0,,,,,,Match Report
01/02/2024,20:15,Premier League,Matchweek 22,Thu,Away,W,4,3,Wolves,3.3,2.1,47,"31,641",Bruno Fernandes,4-2-3-1,3-4-3,Jarred Gillett,Match Report,,01/02/2024,20:15,Premier League,Matchweek 22,Thu,Away,W,4,3,Wolves,4,21,8,38.1,0.19,0.5,18.2,2,0,0,3.3,3.3,0.16,0.7,0.7,Match Report
04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,W,3,0,West Ham,0.7,1.4,51,"73,612",Bruno Fernandes,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,W,3,0,West Ham,3,12,5,41.7,0.25,0.6,20.4,0,0,0,0.7,0.7,0.06,2.3,2.3,Match Report
11/02/2024,16:30,Premier League,Matchweek 24,Sun,Away,W,2,1,Aston Villa,1.8,2.4,44,"42,185",Bruno Fernandes,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,11/02/2024,16:30,Premier League,Matchweek 24,Sun,Away,W,2,1,Aston Villa,2,17,5,29.4,0.12,0.4,14.6,0,0,0,1.8,1.8,0.11,0.2,0.2,Match Report
18/02/2024,16:30,Premier League,Matchweek 25,Sun,Away,W,2,1,Luton Town,2.9,1.8,42,"11,483",Bruno Fernandes,4-2-3-1,3-4-3,David Coote,Match Report,,18/02/2024,16:30,Premier League,Matchweek 25,Sun,Away,W,2,1,Luton Town,2,21,8,38.1,0.1,0.25,19.8,2,0,0,2.9,2.9,0.14,-0.9,-0.9,Match Report
24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,L,1,2,Fulham,1.7,1.2,57,"73,487",Bruno Fernandes,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,L,1,2,Fulham,1,21,8,38.1,0.05,0.13,17.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Match Report
28/02/2024,19:45,FA Cup,Fifth round proper,Wed,Away,W,1,0,Nott'ham Forest,,,61,"28,665",Bruno Fernandes,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,28/02/2024,19:45,FA Cup,Fifth round proper,Wed,Away,W,1,0,Nott'ham Forest,1,20,7,35,0.05,0.14,,,0,0,,,,,,Match Report
03/03/2024,15:30,Premier League,Matchweek 27,Sun,Away,L,1,3,Manchester City,0.2,3.3,27,"53,514",Bruno Fernandes,4-2-4-0,3-2-4-1,Andy Madley,Match Report,,03/03/2024,15:30,Premier League,Matchweek 27,Sun,Away,L,1,3,Manchester City,1,3,1,33.3,0.33,1,16.7,0,0,0,0.2,0.2,0.08,0.8,0.8,Match Report
